cauldron,fill_rate_per_min,fill_rate_per_hour
cauldron_levels.cauldron_001,0.16000000000008185,9.600000000004911
cauldron_levels.cauldron_002,0.0999999999999659,5.999999999997954
cauldron_levels.cauldron_003,0.17999999999994998,10.799999999996999
cauldron_levels.cauldron_004,0.11000000000001364,6.6000000000008185
cauldron_levels.cauldron_005,0.11000000000001364,6.6000000000008185
cauldron_levels.cauldron_006,0.0999999999999659,5.999999999997954
cauldron_levels.cauldron_007,0.1999999999999318,11.999999999995907
cauldron_levels.cauldron_008,0.0800000000000054,4.800000000000324
cauldron_levels.cauldron_009,0.2199999999999136,13.199999999994816
cauldron_levels.cauldron_010,0.12000000000000455,7.200000000000273
cauldron_levels.cauldron_011,0.10999999999998522,6.599999999999113
cauldron_levels.cauldron_012,0.09999999999999432,5.999999999999659
